Uuid,Title,Notes,ImageURL,PageURL,Color,Opacity,Shape,Size,PositionX,PositionY,PositionZ,Collapsed,Type,FromUuid,ToUuid
"1","Embryology","","","","E91E63",1,"Box","15",0,0,1,"No","","",""
"10","Human Embryology","","","","FFEB3B",1,"Ball","9.5",-2,1,2,"No","","",""
"4","Vertebrate Development","","","","FFEB3B",1,"Ball","9.5",0,1,2,"No","","",""
"3","Phylogeny","","","","FFEB3B",1,"Ball","9.5",1,1,2,"No","","",""
"2","Ontogeny","","","","FFEB3B",1,"Ball","9.5",-1,1,2,"No","","",""
"14","Cell Division","","","","4CAF50",1,"Ball","7.5",0,2,3,"No","","",""
"11","Animal Cell","","","","4CAF50",1,"Ball","7.5",-2,2,3,"No","","",""
"7","Differentiation","","","","4CAF50",1,"Ball","7.5",1,2,3,"No","","",""
"6","Segmentation","","","","4CAF50",1,"Ball","7.5",0,2,3,"No","","",""
"5","Fertilization","","","","4CAF50",1,"Ball","7.5",-1,2,3,"No","","",""
"16","Indirect Division","","","","00BCD4",1,"Ball","6.5",1,3,4,"No","","",""
"15","Direct Division","","","","00BCD4",1,"Ball","6.5",-1,3,4,"No","","",""
"13","Cytoplasm","","","","00BCD4",1,"Ball","6.5",-1,3,4,"No","","",""
"12","Nucleus","","","","00BCD4",1,"Ball","6.5",-3,3,4,"No","","",""
"9","Germinal Cells","","","","00BCD4",1,"Ball","6.5",1,3,4,"No","","",""
"8","Somatic Cells","","","","00BCD4",1,"Ball","6.5",-1,3,4,"No","","",""
"17","","","","","171717",1,"Solid",1,"","","","","","2","10"
"18","","","","","171717",1,"Solid",1,"","","","","","1","4"
"19","","","","","171717",1,"Solid",1,"","","","","","1","3"
"20","","","","","171717",1,"Solid",1,"","","","","","1","2"
"21","","","","","171717",1,"Solid",1,"","","","","","10","14"
"22","","","","","171717",1,"Solid",1,"","","","","","10","11"
"23","","","","","171717",1,"Solid",1,"","","","","","4","7"
"24","","","","","171717",1,"Solid",1,"","","","","","4","6"
"25","","","","","171717",1,"Solid",1,"","","","","","4","5"
"26","","","","","171717",1,"Solid",1,"","","","","","14","16"
"27","","","","","171717",1,"Solid",1,"","","","","","14","15"
"28","","","","","171717",1,"Solid",1,"","","","","","11","13"
"29","","","","","171717",1,"Solid",1,"","","","","","11","12"
"30","","","","","171717",1,"Solid",1,"","","","","","6","9"
"31","","","","","171717",1,"Solid",1,"","","","","","6","8"
